Hora, Tipo Registro, Mensaje,Robot

2023-09-05 15:11:15.990375, TRACE, Inicio Ejecucion, RB_ES_EDSA_017_CambioComercializadora
2023-09-05 15:11:16.035420, TRACE, Inicio del modulo Init ,InitConfig
2023-09-05 15:11:16.138162, TRACE, Fin del modulo Init ,InitConfig
2023-09-05 15:11:16.192347, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-09-05 15:11:16.304323, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-09-05 15:11:16.347787, TRACE, Inicio del submodulo InitApps ,InitApps
2023-09-05 15:11:16.394214, INFO, "Incio del modulo LoginCosmos" ,Login
2023-09-05 15:11:35.609518, INFO, "Inicio del modulo Obtener Token" ,ObtenerToken
2023-09-05 15:11:35.685577, INFO, "Fin del modulo Obtener Token" ,ObtenerToken
2023-09-05 15:11:49.440201, INFO, "Fin del modulo LoginCosmos" ,Login
2023-09-05 15:11:49.475145, TRACE, Fin del submodulo InitApps ,InitApps
2023-09-05 15:11:49.520505, TRACE, Fin del modulo Init ,Init
2023-09-05 15:11:49.604308, TRACE, Inicio del modulo GetTransaction ,GetTransaction
2023-09-05 15:11:51.857301, TRACE, Fin del modulo GetTransaction ,GetTransaction
2023-09-05 15:11:52.494879, TRACE, Inicio del modulo Process ,Process
2023-09-05 15:11:52.553994, INFO, "Inicio del modulo Work Data" ,Work_Data
2023-09-05 15:11:53.615162, INFO, "Fin del modulo Work Data" ,Work_Data
2023-09-05 15:11:53.701363, INFO, "Inicio del modulo Buscar_Cliente" ,Buscar_Cliente
2023-09-05 15:12:25.223289, INFO, "Intento de click en Buscar numero "1" de 10" ,Buscar_Cliente
2023-09-05 15:12:27.968043, INFO, "Fin del modulo Buscar_Cliente" ,Buscar_Cliente
2023-09-05 15:12:28.048996, INFO, "Inicio del modulo Iniciar Simulación" ,Iniciar_Simulacion
2023-09-05 15:13:01.622944, ERROR, "Error inesperado" ,Iniciar_Simulacion
2023-09-05 15:13:01.681987, INFO, "Inicio del modulo " ,Ultimas_Validaciones
2023-09-05 15:13:01.725135, INFO, "Reintento numero "1" De "3 ,Ultimas_Validaciones
2023-09-05 15:13:01.769631, INFO, "Fin del modulo " ,Ultimas_Validaciones
2023-09-05 15:13:01.846127, INFO, "Inicio del modulo Buscar_Cliente" ,Buscar_Cliente
2023-09-05 15:15:36.153227, TRACE, Incio del modulo Init ,Init
2023-09-05 15:15:36.205736, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-05 15:15:46.604229, INFO, "Inicio del modulo GetAssets" ,GetAssets

2023-09-05 15:15:46.688559, TRACE, Inicio Ejecucion, RB_ES_EDSA_017_CambioComercializadora
2023-09-05 15:15:46.734649, TRACE, Inicio del modulo Init ,InitConfig
2023-09-05 15:15:46.837058, TRACE, Fin del modulo Init ,InitConfig
2023-09-05 15:15:46.892886, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-09-05 15:15:51.669865, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-09-05 15:15:51.714663, TRACE, Inicio del submodulo InitApps ,InitApps
2023-09-05 15:15:51.760886, INFO, "Incio del modulo LoginCosmos" ,Login
2023-09-05 15:16:14.771531, INFO, "Inicio del modulo Obtener Token" ,ObtenerToken
2023-09-05 15:16:14.819536, INFO, "Fin del modulo Obtener Token" ,ObtenerToken
2023-09-05 15:16:29.048009, INFO, "Fin del modulo LoginCosmos" ,Login
2023-09-05 15:16:29.089125, TRACE, Fin del submodulo InitApps ,InitApps
2023-09-05 15:16:29.133111, TRACE, Fin del modulo Init ,Init
2023-09-05 15:16:29.516112, TRACE, Inicio del modulo GetTransaction ,GetTransaction
2023-09-05 15:16:32.094758, TRACE, Fin del modulo GetTransaction ,GetTransaction
2023-09-05 15:16:32.718053, TRACE, Inicio del modulo Process ,Process
2023-09-05 15:16:32.771569, INFO, "Inicio del modulo Work Data" ,Work_Data
2023-09-05 15:16:33.782849, INFO, "Fin del modulo Work Data" ,Work_Data
2023-09-05 15:16:33.864849, INFO, "Inicio del modulo Buscar_Cliente" ,Buscar_Cliente
2023-09-05 15:21:01.833235, INFO, "Intento de click en Buscar numero "1" de 10" ,Buscar_Cliente
2023-09-05 15:21:04.554976, INFO, "Fin del modulo Buscar_Cliente" ,Buscar_Cliente
