Hora, Tipo Registro, Mensaje,Robot

2023-09-07 15:33:34.392801, TRACE, Inicio Ejecucion, RB_ES_EDSA_017_CambioComercializadora
2023-09-07 15:33:34.461233, TRACE, Inicio del modulo Init ,InitConfig
2023-09-07 15:33:34.727992, TRACE, Fin del modulo Init ,InitConfig
2023-09-07 15:33:34.803968, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-09-07 15:33:34.957477, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-09-07 15:33:35.020460, TRACE, Inicio del submodulo InitApps ,InitApps
2023-09-07 15:33:35.084685, INFO, "Incio del modulo LoginCosmos" ,Login
2023-09-07 15:33:54.315591, INFO, "Inicio del modulo Obtener Token" ,ObtenerToken
2023-09-07 15:33:54.399654, INFO, "Fin del modulo Obtener Token" ,ObtenerToken
2023-09-07 15:34:08.417406, INFO, "Fin del modulo LoginCosmos" ,Login
2023-09-07 15:34:08.460445, TRACE, Fin del submodulo InitApps ,InitApps
2023-09-07 15:34:08.505549, TRACE, Fin del modulo Init ,Init
2023-09-07 15:34:08.829860, TRACE, Inicio del modulo GetTransaction ,GetTransaction
2023-09-07 15:34:12.147650, TRACE, Fin del modulo GetTransaction ,GetTransaction
2023-09-07 15:34:12.802360, TRACE, Inicio del modulo Process ,Process
2023-09-07 15:34:12.888003, INFO, "Inicio del modulo Work Data" ,Work_Data
2023-09-07 15:34:14.407741, INFO, "Fin del modulo Work Data" ,Work_Data
2023-09-07 15:34:14.534012, INFO, "Inicio del modulo Buscar_Cliente" ,Buscar_Cliente
2023-09-07 15:35:24.058955, INFO, "Intento de click en Buscar numero "1" de 10" ,Buscar_Cliente
2023-09-07 15:35:27.070373, INFO, "Intento de click en Buscar numero "2" de 10" ,Buscar_Cliente
2023-09-07 15:35:29.818209, INFO, "Fin del modulo Buscar_Cliente" ,Buscar_Cliente
2023-09-07 15:35:29.899896, INFO, "Inicio del modulo Iniciar Simulación" ,Iniciar_Simulacion
2023-09-07 15:35:55.818256, INFO, "Fin del modulo Iniciar Simulación" ,Iniciar_Simulacion
2023-09-07 15:35:55.908944, INFO, "Inicio modulo Validacion Cups" ,Validacion_Cups
2023-09-07 15:36:02.395815, INFO, "El cups existe y esta en vigor " ,Validacion_Cups
2023-09-07 15:36:02.474708, INFO, "Inicio del modulo" ,Cambio_Comercializadora
2023-09-07 15:36:02.527352, INFO, "Pantalla del boton Contratación" ,Cambio_Comercializadora
2023-09-07 15:36:02.970916, INFO, "Pantalla del boton Nueva Oferta" ,Cambio_Comercializadora
2023-09-07 15:36:13.685810, INFO, "Pantalla donde se busca por Cups" ,Cambio_Comercializadora
2023-09-07 15:36:21.673804, INFO, "Pantalla donde se da click en la dirección" ,Cambio_Comercializadora
2023-09-07 15:36:23.180081, INFO, "Pantalla de validación de suministro" ,Cambio_Comercializadora
2023-09-07 15:39:02.160976, INFO, "Fin del modulo" ,Cambio_Comercializadora
2023-09-07 15:39:02.250988, INFO, "Inicio del modulo" ,Actualizar_Potencia
2023-09-07 15:39:15.037149, INFO, "Fin del modulo Modificación de potencia" ,Actualizar_Potencia
2023-09-07 15:39:15.129073, INFO, "Inicio del modulo" ,Configuracion_Tarifa
2023-09-07 15:39:58.708926, INFO, "Fin del modulo" ,MOD_PRODUCTO_COSMOS_MOD_LUZ_20_LIBRE_ENDESA
2023-09-07 15:39:59.360015, INFO, "Fin del modulo" ,Configuracion_Tarifa
2023-09-07 15:39:59.442540, INFO, "Inicio del modulo Metodo de pago" ,Metodo_Pago

2023-09-07 16:13:01.280451, TRACE, Inicio Ejecucion, RB_ES_EDSA_017_CambioComercializadora
2023-09-07 16:13:01.339391, TRACE, Inicio del modulo Init ,InitConfig
2023-09-07 16:13:01.493502, TRACE, Fin del modulo Init ,InitConfig
2023-09-07 16:13:01.569492, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-09-07 16:13:01.708355, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-09-07 16:13:01.773538, TRACE, Inicio del submodulo InitApps ,InitApps
2023-09-07 16:13:01.839695, INFO, "Incio del modulo LoginCosmos" ,Login
2023-09-07 16:13:21.817351, INFO, "Inicio del modulo Obtener Token" ,ObtenerToken
2023-09-07 16:13:21.895769, INFO, "Fin del modulo Obtener Token" ,ObtenerToken
2023-09-07 16:13:35.950203, INFO, "Fin del modulo LoginCosmos" ,Login
2023-09-07 16:13:35.997506, TRACE, Fin del submodulo InitApps ,InitApps
2023-09-07 16:13:36.046694, TRACE, Fin del modulo Init ,Init
2023-09-07 16:13:36.158358, TRACE, Inicio del modulo GetTransaction ,GetTransaction
2023-09-07 16:13:38.251305, TRACE, Fin del modulo GetTransaction ,GetTransaction
2023-09-07 16:13:38.894898, TRACE, Inicio del modulo Process ,Process
2023-09-07 16:13:38.969165, INFO, "Inicio del modulo Work Data" ,Work_Data
2023-09-07 16:13:39.994078, INFO, "Fin del modulo Work Data" ,Work_Data
2023-09-07 16:13:40.121311, INFO, "Inicio del modulo Buscar_Cliente" ,Buscar_Cliente
2023-09-07 16:14:07.290256, INFO, "Intento de click en Buscar numero "1" de 10" ,Buscar_Cliente
2023-09-07 16:14:10.240168, INFO, "Fin del modulo Buscar_Cliente" ,Buscar_Cliente
2023-09-07 16:14:10.332871, INFO, "Inicio del modulo Iniciar Simulación" ,Iniciar_Simulacion
2023-09-07 16:14:34.475179, INFO, "Fin del modulo Iniciar Simulación" ,Iniciar_Simulacion
2023-09-07 16:14:34.567634, INFO, "Inicio modulo Validacion Cups" ,Validacion_Cups
2023-09-07 16:14:41.065740, INFO, "El cups existe y esta en vigor " ,Validacion_Cups
2023-09-07 16:14:41.165086, INFO, "Inicio del modulo" ,Cambio_Comercializadora
2023-09-07 16:14:41.221707, INFO, "Pantalla del boton Contratación" ,Cambio_Comercializadora
2023-09-07 16:14:41.684421, INFO, "Pantalla del boton Nueva Oferta" ,Cambio_Comercializadora
2023-09-07 16:14:54.039635, INFO, "Pantalla donde se busca por Cups" ,Cambio_Comercializadora
2023-09-07 16:14:58.326243, INFO, "Pantalla donde se da click en la dirección" ,Cambio_Comercializadora
2023-09-07 16:14:59.828486, INFO, "Pantalla de validación de suministro" ,Cambio_Comercializadora
2023-09-07 16:15:12.833274, INFO, "Fin del modulo" ,Cambio_Comercializadora
2023-09-07 16:15:12.913227, INFO, "Inicio del modulo" ,Actualizar_Potencia
2023-09-07 16:15:25.772300, INFO, "Fin del modulo Modificación de potencia" ,Actualizar_Potencia
2023-09-07 16:15:25.866776, INFO, "Inicio del modulo" ,Configuracion_Tarifa
2023-09-07 20:48:23.066581, TRACE, Incio del modulo Init ,Init
2023-09-07 20:48:23.165488, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-07 20:48:32.977121, INFO, "Inicio del modulo GetAssets" ,GetAssets

2023-09-07 20:48:33.108010, TRACE, Inicio Ejecucion, RB_ES_EDSA_017_CambioComercializadora
2023-09-07 20:48:33.169322, TRACE, Inicio del modulo Init ,InitConfig
2023-09-07 20:48:33.343022, TRACE, Fin del modulo Init ,InitConfig
2023-09-07 20:48:33.421008, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-09-07 20:48:36.955908, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-09-07 20:48:37.021045, TRACE, Inicio del submodulo InitApps ,InitApps
2023-09-07 20:48:37.093632, INFO, "Incio del modulo LoginCosmos" ,Login
2023-09-07 20:49:03.819040, INFO, "Inicio del modulo Obtener Token" ,ObtenerToken
2023-09-07 20:49:03.884005, INFO, "Fin del modulo Obtener Token" ,ObtenerToken
2023-09-07 20:49:18.269279, INFO, "Fin del modulo LoginCosmos" ,Login
2023-09-07 20:49:18.311373, TRACE, Fin del submodulo InitApps ,InitApps
2023-09-07 20:49:18.355671, TRACE, Fin del modulo Init ,Init
2023-09-07 20:49:18.703440, TRACE, Inicio del modulo GetTransaction ,GetTransaction
2023-09-07 20:49:20.917836, TRACE, Fin del modulo GetTransaction ,GetTransaction
2023-09-07 20:49:21.572263, TRACE, Inicio del modulo Process ,Process
2023-09-07 20:49:21.646267, INFO, "Inicio del modulo Work Data" ,Work_Data
2023-09-07 20:49:22.674671, INFO, "Fin del modulo Work Data" ,Work_Data
2023-09-07 20:49:22.804669, INFO, "Inicio del modulo Buscar_Cliente" ,Buscar_Cliente
2023-09-07 20:49:51.102018, INFO, "Intento de click en Buscar numero "1" de 10" ,Buscar_Cliente
2023-09-07 20:49:53.886140, INFO, "Fin del modulo Buscar_Cliente" ,Buscar_Cliente
2023-09-07 20:49:53.965615, INFO, "Inicio del modulo Iniciar Simulación" ,Iniciar_Simulacion
2023-09-07 20:50:18.679093, INFO, "Fin del modulo Iniciar Simulación" ,Iniciar_Simulacion
2023-09-07 20:50:18.757209, INFO, "Inicio modulo Validacion Cups" ,Validacion_Cups
2023-09-07 20:50:25.183721, INFO, "El cups existe y esta en vigor " ,Validacion_Cups
2023-09-07 20:50:25.261144, INFO, "Inicio del modulo" ,Cambio_Comercializadora
2023-09-07 20:50:25.312541, INFO, "Pantalla del boton Contratación" ,Cambio_Comercializadora
2023-09-07 20:50:25.753417, INFO, "Pantalla del boton Nueva Oferta" ,Cambio_Comercializadora
2023-09-07 20:50:37.473895, INFO, "Pantalla donde se busca por Cups" ,Cambio_Comercializadora
2023-09-07 20:50:42.744303, INFO, "Pantalla donde se da click en la dirección" ,Cambio_Comercializadora
2023-09-07 20:50:43.717776, INFO, "Pantalla de validación de suministro" ,Cambio_Comercializadora
2023-09-07 20:50:55.333521, INFO, "Fin del modulo" ,Cambio_Comercializadora
2023-09-07 20:50:55.420619, INFO, "Inicio del modulo" ,Actualizar_Potencia
2023-09-07 20:51:08.781934, INFO, "Fin del modulo Modificación de potencia" ,Actualizar_Potencia
2023-09-07 20:51:08.859581, INFO, "Inicio del modulo" ,Pasos_Configurador
2023-09-07 20:51:54.267183, ERROR, "Error inesperado" ,Pasos_Configurador
2023-09-07 20:51:54.364680, INFO, "Inicio del modulo Venta Caida" ,Venta_Caida
2023-09-07 20:51:58.939023, INFO, "Fin del modulo Venta Caida" ,Venta_Caida
2023-09-07 20:51:59.029806, INFO, "Inicio del modulo " ,Ultimas_Validaciones
2023-09-07 20:51:59.099036, INFO, "Reintento numero "1" De "3 ,Ultimas_Validaciones
2023-09-07 20:51:59.163193, INFO, "Fin del modulo " ,Ultimas_Validaciones
2023-09-07 20:51:59.257671, INFO, "Inicio del modulo Buscar_Cliente" ,Buscar_Cliente
2023-09-07 21:02:22.144466, TRACE, Incio del modulo Init ,Init
2023-09-07 21:02:22.205807, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-07 21:02:32.978664, INFO, "Inicio del modulo GetAssets" ,GetAssets

2023-09-07 21:02:33.097974, TRACE, Inicio Ejecucion, RB_ES_EDSA_017_CambioComercializadora
2023-09-07 21:02:33.161977, TRACE, Inicio del modulo Init ,InitConfig
2023-09-07 21:02:33.300974, TRACE, Fin del modulo Init ,InitConfig
2023-09-07 21:02:33.374488, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-09-07 21:02:33.514923, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-09-07 21:02:33.581587, TRACE, Inicio del submodulo InitApps ,InitApps
2023-09-07 21:02:33.644558, INFO, "Incio del modulo LoginCosmos" ,Login
2023-09-07 21:02:54.279197, INFO, "Inicio del modulo Obtener Token" ,ObtenerToken
2023-09-07 21:02:54.366194, INFO, "Fin del modulo Obtener Token" ,ObtenerToken
2023-09-07 21:03:09.933809, INFO, "Fin del modulo LoginCosmos" ,Login
2023-09-07 21:03:09.981816, TRACE, Fin del submodulo InitApps ,InitApps
2023-09-07 21:03:10.027798, TRACE, Fin del modulo Init ,Init
2023-09-07 21:03:10.136725, TRACE, Inicio del modulo GetTransaction ,GetTransaction
2023-09-07 21:03:12.071276, TRACE, Fin del modulo GetTransaction ,GetTransaction
2023-09-07 21:03:12.714609, TRACE, Inicio del modulo Process ,Process
2023-09-07 21:03:12.782847, INFO, "Inicio del modulo Work Data" ,Work_Data
2023-09-07 21:03:13.839761, INFO, "Fin del modulo Work Data" ,Work_Data
2023-09-07 21:03:13.971602, INFO, "Inicio del modulo Buscar_Cliente" ,Buscar_Cliente
2023-09-07 21:04:03.282220, INFO, "Intento de click en Buscar numero "1" de 10" ,Buscar_Cliente
2023-09-07 21:04:06.051198, INFO, "Fin del modulo Buscar_Cliente" ,Buscar_Cliente
2023-09-07 21:04:06.132265, INFO, "Inicio del modulo Iniciar Simulación" ,Iniciar_Simulacion
2023-09-07 21:04:39.607369, ERROR, "Error inesperado" ,Iniciar_Simulacion
2023-09-07 21:04:39.697258, INFO, "Inicio del modulo " ,Ultimas_Validaciones
2023-09-07 21:04:39.764996, INFO, "Reintento numero "1" De "3 ,Ultimas_Validaciones
2023-09-07 21:04:39.829824, INFO, "Fin del modulo " ,Ultimas_Validaciones
2023-09-07 21:04:39.925826, INFO, "Inicio del modulo Buscar_Cliente" ,Buscar_Cliente
2023-09-07 21:04:58.042830, INFO, "Intento de click en Buscar numero "1" de 10" ,Buscar_Cliente
2023-09-07 21:05:00.810029, INFO, "Fin del modulo Buscar_Cliente" ,Buscar_Cliente
2023-09-07 21:05:00.888066, INFO, "Inicio del modulo Iniciar Simulación" ,Iniciar_Simulacion
2023-09-07 21:05:26.079760, INFO, "Fin del modulo Iniciar Simulación" ,Iniciar_Simulacion
2023-09-07 21:05:26.158536, INFO, "Inicio modulo Validacion Cups" ,Validacion_Cups
2023-09-07 21:05:32.599403, INFO, "El cups existe y esta en vigor " ,Validacion_Cups
2023-09-07 21:05:32.679319, INFO, "Inicio del modulo" ,Cambio_Comercializadora
2023-09-07 21:05:32.752998, INFO, "Pantalla del boton Contratación" ,Cambio_Comercializadora
2023-09-07 21:05:33.180560, INFO, "Pantalla del boton Nueva Oferta" ,Cambio_Comercializadora
2023-09-07 21:05:44.958968, INFO, "Pantalla donde se busca por Cups" ,Cambio_Comercializadora
2023-09-07 21:05:48.739297, INFO, "Pantalla donde se da click en la dirección" ,Cambio_Comercializadora
