Hora, Tipo Registro, Mensaje,Robot

2023-08-22 15:50:59.684102, TRACE, Inicio Ejecucion, RB_ES_EDSA_013_CambioComercializadora
2023-08-22 15:50:59.750105, TRACE, Inicio del modulo Init ,InitConfig
2023-08-22 15:50:59.946186, TRACE, Fin del modulo Init ,InitConfig
2023-08-22 15:51:00.022160, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-22 15:51:06.284780, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-22 15:51:06.374432, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-08-22 15:51:06.501569, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-08-22 15:51:06.564984, TRACE, Inicio del submodulo InitApps ,InitApps
2023-08-22 15:51:06.664211, INFO, "Incio del modulo LoginCosmos" ,LoginTest
2023-08-22 15:51:29.189823, ERROR, "Error inesperado al intentar loguearse" ,LoginTest
2023-08-22 15:51:29.237770, TRACE, Fin del submodulo InitApps ,InitApps
2023-08-22 15:51:29.286825, TRACE, Fin del modulo Init ,Init
2023-08-22 15:51:35.903946, TRACE, Incio del modulo Init ,Init

2023-08-22 15:51:36.013141, TRACE, Inicio Ejecucion, RB_ES_EDSA_013_CambioComercializadora
2023-08-22 15:51:36.074027, TRACE, Inicio del modulo Init ,InitConfig
2023-08-22 15:51:36.226493, TRACE, Fin del modulo Init ,InitConfig
2023-08-22 15:51:36.308169, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-22 15:51:42.041981, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-22 15:51:42.120106, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-08-22 15:51:42.240254, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-08-22 15:51:42.308513, TRACE, Inicio del submodulo InitApps ,InitApps
2023-08-22 15:51:42.376613, INFO, "Incio del modulo LoginCosmos" ,LoginTest
2023-08-22 15:52:02.545923, ERROR, "Error inesperado al intentar loguearse" ,LoginTest
2023-08-22 15:52:02.600926, TRACE, Fin del submodulo InitApps ,InitApps
2023-08-22 15:52:02.656923, TRACE, Fin del modulo Init ,Init
2023-08-22 16:06:04.294378, TRACE, Incio del modulo Init ,Init

2023-08-22 16:06:04.395590, TRACE, Inicio Ejecucion, RB_ES_EDSA_013_CambioComercializadora
2023-08-22 16:06:04.453531, TRACE, Inicio del modulo Init ,InitConfig
2023-08-22 16:06:04.594990, TRACE, Fin del modulo Init ,InitConfig
2023-08-22 16:06:04.671986, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-22 16:06:11.087576, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-22 16:06:11.178519, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-08-22 16:06:11.304522, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-08-22 16:06:11.378556, TRACE, Inicio del submodulo InitApps ,InitApps
2023-08-22 16:06:11.445497, INFO, "Incio del modulo LoginCosmos" ,LoginTest
2023-08-22 16:06:43.930589, INFO, "Fin del modulo LoginCosmos" ,LoginTest
2023-08-22 16:06:43.976589, TRACE, Fin del submodulo InitApps ,InitApps
2023-08-22 16:06:44.017468, TRACE, Fin del modulo Init ,Init
2023-08-22 16:06:44.116937, TRACE, Inicio del modulo GetTransaction ,GetTransaction
2023-08-22 16:06:46.059771, TRACE, Fin del modulo GetTransaction ,GetTransaction
2023-08-22 16:06:46.696459, TRACE, Inicio del modulo Process ,Process
2023-08-22 16:06:46.761784, INFO, "Inicio del modulo Work Data" ,Work_Data
2023-08-22 16:06:47.674051, INFO, "Fin del modulo Work Data" ,Work_Data
2023-08-22 16:06:47.793484, INFO, "Inicio del modulo Buscar_Cliente" ,Buscar_Cliente
2023-08-22 16:06:56.368798, INFO, "Intento de click en Buscar numero "1" de 10" ,Buscar_Cliente
2023-08-22 16:06:59.346206, INFO, "Intento de click en Buscar numero "2" de 10" ,Buscar_Cliente
2023-08-22 16:07:02.105529, INFO, "Fin del modulo Buscar_Cliente" ,Buscar_Cliente
2023-08-22 16:07:02.191867, INFO, "Inicio del modulo Iniciar Simulación" ,Iniciar_Simulacion
2023-08-22 16:07:27.478427, INFO, "Fin del modulo Iniciar Simulación" ,Iniciar_Simulacion
2023-08-22 16:07:27.562337, INFO, "Inicio modulo Validacion Cups" ,Validacion_Cups
2023-08-22 16:23:28.335194, TRACE, Incio del modulo Init ,Init

2023-08-22 16:23:28.427404, TRACE, Inicio Ejecucion, RB_ES_EDSA_013_CambioComercializadora
2023-08-22 16:23:28.482559, TRACE, Inicio del modulo Init ,InitConfig
2023-08-22 16:23:28.611691, TRACE, Fin del modulo Init ,InitConfig
2023-08-22 16:23:28.684055, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-22 16:23:35.218135, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-22 16:23:35.290579, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-08-22 16:23:40.240672, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-08-22 16:23:40.299522, TRACE, Inicio del submodulo InitApps ,InitApps
2023-08-22 16:23:40.359134, INFO, "Incio del modulo LoginCosmos" ,LoginTest
2023-08-22 16:24:12.258582, INFO, "Fin del modulo LoginCosmos" ,LoginTest
2023-08-22 16:24:12.297084, TRACE, Fin del submodulo InitApps ,InitApps
2023-08-22 16:24:12.337795, TRACE, Fin del modulo Init ,Init
2023-08-22 16:24:12.725496, TRACE, Inicio del modulo GetTransaction ,GetTransaction
2023-08-22 16:24:15.013661, TRACE, Fin del modulo GetTransaction ,GetTransaction
2023-08-22 16:24:15.625850, TRACE, Inicio del modulo Process ,Process
2023-08-22 16:24:15.689874, INFO, "Inicio del modulo Work Data" ,Work_Data
2023-08-22 16:24:16.625765, INFO, "Fin del modulo Work Data" ,Work_Data
2023-08-22 16:24:16.735830, INFO, "Inicio del modulo" ,Buscar_Necesidad
2023-08-22 16:24:26.192098, ERROR, "Error inesperado" ,Buscar_Necesidad
2023-08-22 16:24:26.280076, INFO, "Inicio del modulo " ,Ultimas_Validaciones
2023-08-22 16:24:26.348139, INFO, "Reintento numero "1" De "3 ,Ultimas_Validaciones
2023-08-22 16:24:26.410787, INFO, "Fin del modulo " ,Ultimas_Validaciones
2023-08-22 16:24:26.499399, INFO, "Inicio del modulo" ,Buscar_Necesidad
2023-08-22 16:34:09.281934, TRACE, Incio del modulo Init ,Init

2023-08-22 16:34:09.388133, TRACE, Inicio Ejecucion, RB_ES_EDSA_013_CambioComercializadora
2023-08-22 16:34:09.449707, TRACE, Inicio del modulo Init ,InitConfig
2023-08-22 16:34:09.599187, TRACE, Fin del modulo Init ,InitConfig
2023-08-22 16:34:09.677965, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-22 16:34:15.940527, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-22 16:34:16.015179, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-08-22 16:34:18.761196, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-08-22 16:34:18.824112, TRACE, Inicio del submodulo InitApps ,InitApps
2023-08-22 16:34:18.886695, INFO, "Incio del modulo LoginCosmos" ,LoginTest
2023-08-22 16:34:50.023783, INFO, "Fin del modulo LoginCosmos" ,LoginTest
2023-08-22 16:34:50.065277, TRACE, Fin del submodulo InitApps ,InitApps
2023-08-22 16:34:50.108980, TRACE, Fin del modulo Init ,Init
2023-08-22 16:34:50.200666, TRACE, Inicio del modulo GetTransaction ,GetTransaction
2023-08-22 16:34:51.749249, TRACE, Fin del modulo GetTransaction ,GetTransaction
2023-08-22 16:34:52.380047, TRACE, Inicio del modulo Process ,Process
2023-08-22 16:34:52.429049, INFO, "Inicio del modulo Work Data" ,Work_Data
2023-08-22 16:34:53.439690, INFO, "Fin del modulo Work Data" ,Work_Data
2023-08-22 16:34:53.554560, INFO, "Inicio del modulo" ,Buscar_Necesidad
2023-08-22 16:35:09.509491, INFO, "Inicio del modulo" ,Buscar_Necesidad
2023-08-22 16:35:09.709093, INFO, "Inicio del modulo finalizar" ,Finalizar_Tramite
2023-08-22 16:36:39.544939, TRACE, Incio del modulo Init ,Init

2023-08-22 16:36:39.642312, TRACE, Inicio Ejecucion, RB_ES_EDSA_013_CambioComercializadora
2023-08-22 16:36:39.699919, TRACE, Inicio del modulo Init ,InitConfig
2023-08-22 16:36:39.839273, TRACE, Fin del modulo Init ,InitConfig
2023-08-22 16:36:39.939242, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-22 16:36:46.313871, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-22 16:36:46.410007, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-08-22 16:36:48.922949, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-08-22 16:36:48.985482, TRACE, Inicio del submodulo InitApps ,InitApps
2023-08-22 16:36:49.047960, INFO, "Incio del modulo LoginCosmos" ,LoginTest
2023-08-22 16:37:21.784031, INFO, "Fin del modulo LoginCosmos" ,LoginTest
2023-08-22 16:37:21.826925, TRACE, Fin del submodulo InitApps ,InitApps
2023-08-22 16:37:21.871617, TRACE, Fin del modulo Init ,Init
2023-08-22 16:37:21.972281, TRACE, Inicio del modulo GetTransaction ,GetTransaction
2023-08-22 16:37:24.270112, TRACE, Fin del modulo GetTransaction ,GetTransaction
2023-08-22 16:37:24.895266, TRACE, Inicio del modulo Process ,Process
2023-08-22 16:37:24.959645, INFO, "Inicio del modulo Work Data" ,Work_Data
2023-08-22 16:37:25.992444, INFO, "Fin del modulo Work Data" ,Work_Data
2023-08-22 16:37:26.098807, INFO, "Inicio del modulo" ,Buscar_Necesidad
2023-08-22 16:43:53.192267, ERROR, "Error inesperado" ,Buscar_Necesidad
2023-08-22 16:43:53.255266, INFO, "Inicio del modulo " ,Ultimas_Validaciones
2023-08-22 16:43:53.327265, INFO, "Reintento numero "1" De "3 ,Ultimas_Validaciones
2023-08-22 16:43:53.394285, INFO, "Fin del modulo " ,Ultimas_Validaciones
2023-08-22 16:43:53.495133, INFO, "Inicio del modulo" ,Buscar_Necesidad
2023-08-22 16:44:14.143894, TRACE, Incio del modulo Init ,Init

