Hora, Tipo Registro, Mensaje,Robot
2023-11-17 16:25:49.634457, INFO, None ,InitConfig
2023-11-17 16:25:49.652976, INFO, Inicio del modulo ,InitConfig
2023-11-17 16:25:49.870071, INFO, Fin del modulo ,InitConfig
2023-11-17 16:25:49.902781, INFO, Inicio del modulo envio de correo ,NotificacionesCorreo
2023-11-17 16:25:52.184273, ERROR, "Error al intentar enviar el correo de notificaci�n" ,NotificacionesCorreo
2023-11-17 16:25:52.217601, INFO, Inicio del modulo ,KillProcess
2023-11-17 16:25:52.250605, ERROR, Error inesperado ,KillProcess
2023-11-17 16:25:52.283886, INFO, "Fin del modulo" ,Init
2023-11-17 16:25:52.533222, ERROR, Algo salio mal en las confirguraciones iniciales ,GetTransaction
2023-11-17 16:25:53.532389, INFO, Inicio del modulo ,EndProcess
2023-11-17 16:25:53.565777, INFO, Inicio del modulo ,KillProcess
2023-11-17 16:25:53.581986, ERROR, Error inesperado ,KillProcess
2023-11-17 16:25:53.618769, INFO, Inicio del modulo envio de correo ,NotificacionesCorreo
2023-11-17 16:25:55.546240, ERROR, "Error al intentar enviar el correo de notificaci�n" ,NotificacionesCorreo
2023-11-17 16:25:55.563424, INFO, Fin del modulo ,EndProcess
2023-11-17 16:25:55.597399, TRACE, Finalizacion de Ejecucion, BotLevel2CertificadoRocket

2023-11-17 16:27:37.637420, INFO, "Incio del modulo" ,Init
2023-11-17 16:27:37.679117, INFO, Inicio del modulo ,GetAssets
2023-11-17 16:27:43.259012, INFO, Inicio del modulo ,GetAssets
2023-11-17 16:27:43.307989, INFO, None ,InitConfig
2023-11-17 16:27:43.325939, INFO, Inicio del modulo ,InitConfig
2023-11-17 16:27:43.393543, INFO, Fin del modulo ,InitConfig
2023-11-17 16:27:43.425867, INFO, Inicio del modulo ,KillProcess
2023-11-17 16:27:43.459896, ERROR, Error inesperado ,KillProcess
2023-11-17 16:27:43.492341, INFO, "Fin del modulo" ,Init
2023-11-17 16:27:43.553415, ERROR, Algo salio mal en las confirguraciones iniciales ,GetTransaction
2023-11-17 16:27:44.655703, INFO, Inicio del modulo ,EndProcess
2023-11-17 16:27:44.674308, INFO, Inicio del modulo ,KillProcess
2023-11-17 16:27:44.707866, ERROR, Error inesperado ,KillProcess
2023-11-17 16:27:44.741950, INFO, Inicio del modulo envio de correo ,NotificacionesCorreo
2023-11-17 16:27:46.821350, ERROR, "Error al intentar enviar el correo de notificaci�n" ,NotificacionesCorreo
2023-11-17 16:27:46.838758, INFO, Fin del modulo ,EndProcess
2023-11-17 16:27:46.855702, TRACE, Finalizacion de Ejecucion, BotLevel2CertificadoRocket

2023-11-17 16:28:43.718731, INFO, "Incio del modulo" ,Init
2023-11-17 16:28:43.751644, INFO, Inicio del modulo ,GetAssets
2023-11-17 16:28:49.998769, INFO, Inicio del modulo ,GetAssets
2023-11-17 16:28:50.032154, INFO, None ,InitConfig
2023-11-17 16:28:50.061978, INFO, Inicio del modulo ,InitConfig
2023-11-17 16:28:50.137010, INFO, Fin del modulo ,InitConfig
2023-11-17 16:28:50.168102, INFO, Inicio del modulo ,KillProcess
2023-11-17 16:28:50.196172, INFO, Fin del modulo ,KillProcess
2023-11-17 16:28:50.212275, INFO, Inicio del modulo ,InitApps
2023-11-17 16:28:50.262715, INFO, Incio del modulo ,Login
2023-11-17 16:28:57.304980, INFO, Fin del modulo ,Login
2023-11-17 16:28:57.337642, TRACE, "Fin del modulo" ,InitApps
2023-11-17 16:28:57.352742, INFO, "Fin del modulo" ,Init
