Hora, Tipo Registro, Mensaje,Robot

2023-08-31 15:11:39.332798, TRACE, Inicio Ejecucion, RB_ES_EDSA_013_CambioComercializadora
2023-08-31 15:11:39.393536, TRACE, Inicio del modulo Init ,InitConfig
2023-08-31 15:11:39.548427, TRACE, Fin del modulo Init ,InitConfig
2023-08-31 15:11:39.630552, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-31 15:11:46.636581, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-31 15:11:46.726325, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-08-31 15:11:46.887500, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-08-31 15:11:46.955342, TRACE, Inicio del submodulo InitApps ,InitApps
2023-08-31 15:11:47.023118, INFO, "Incio del modulo LoginCosmos" ,Login
2023-08-31 15:12:02.722581, INFO, "Inicio del modulo Obtener Token" ,ObtenerToken
2023-08-31 15:12:02.819582, INFO, "Fin del modulo Obtener Token" ,ObtenerToken
2023-08-31 15:12:16.747805, INFO, "Fin del modulo LoginCosmos" ,Login
2023-08-31 15:12:16.790301, TRACE, Fin del submodulo InitApps ,InitApps
2023-08-31 15:12:16.839832, TRACE, Fin del modulo Init ,Init
2023-08-31 15:12:17.144222, TRACE, Inicio del modulo GetTransaction ,GetTransaction
2023-08-31 15:12:17.907558, ERROR, "Error inesperado" ,GetDataOrchestrator
2023-08-31 15:12:18.000986, INFO, "Inicio del modulo Chage Status BPM" ,Change_Status_BPM
2023-08-31 15:12:18.640900, INFO, Inicio del modulo envio de correo ,NotificacionesCorreo
2023-08-31 15:12:18.742494, INFO, "Conecta con el server de gmail" ,NotificacionesCorreo
2023-08-31 15:12:20.415636, INFO, "Valida si es un correo de inicio o de fin" ,NotificacionesCorreo
2023-08-31 15:12:21.835343, INFO, "Valido que es un correo de Inicio" ,NotificacionesCorreo
2023-08-31 15:12:21.909343, INFO, Se conecto y envio correo correctamente ,NotificacionesCorreo
2023-08-31 15:12:21.989895, INFO, Finaliza el modulo de envio de correo ,NotificacionesCorreo
