Hora, Tipo Registro, Mensaje,Robot
2023-08-14 15:19:30.118328, ERROR, Error inesperado ,InitConfig
2023-08-14 15:19:30.208411, TRACE, Fin del modulo Init ,Init
2023-08-14 15:19:30.370736, INFO, "Inicio del modulo Chage Status BPM" ,Change_Status_BPM
2023-08-14 15:19:34.171822, INFO, Inicio del modulo envio de correo ,NotificacionesCorreo
2023-08-14 15:19:34.268173, INFO, "Conecta con el server de gmail" ,NotificacionesCorreo
2023-08-14 15:19:35.832330, INFO, "Valida si es un correo de inicio o de fin" ,NotificacionesCorreo
2023-08-14 15:19:36.742450, INFO, "Valido que es un correo de Inicio" ,NotificacionesCorreo
2023-08-14 15:19:36.796362, INFO, Se conecto y envio correo correctamente ,NotificacionesCorreo
2023-08-14 15:19:36.849362, INFO, Finaliza el modulo de envio de correo ,NotificacionesCorreo
2023-08-14 15:19:36.893470, INFO, "Fin del modulo Chage Status BPM" ,Change_Status_BPM
2023-08-14 15:19:37.518466, TRACE, Inicio del modulo Process ,Process
2023-08-14 15:19:37.576747, INFO, "Inicio del modulo Work Data" ,Work_Data
2023-08-14 15:19:38.978245, ERROR, "Error inesperado" ,Work_Data
2023-08-14 15:27:14.170050, TRACE, Incio del modulo Init ,Init

2023-08-14 15:27:14.276508, TRACE, Inicio Ejecucion, RB_ES_EDSA_013_CambioComercializadora
2023-08-14 15:27:14.340504, TRACE, Inicio del modulo Init ,InitConfig
2023-08-14 15:27:14.524429, TRACE, Fin del modulo Init ,InitConfig
2023-08-14 15:27:14.622431, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-14 15:27:23.345430, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-14 15:27:23.416819, INFO, Inicio del modulo envio de correo ,NotificacionesCorreo
2023-08-14 15:27:23.518285, INFO, "Conecta con el server de gmail" ,NotificacionesCorreo
2023-08-14 15:27:25.624037, INFO, "Valida si es un correo de inicio o de fin" ,NotificacionesCorreo
2023-08-14 15:27:26.446463, INFO, "Valido que es un correo de Inicio" ,NotificacionesCorreo
2023-08-14 15:27:26.496540, INFO, Se conecto y envio correo correctamente ,NotificacionesCorreo
2023-08-14 15:27:26.547444, INFO, Finaliza el modulo de envio de correo ,NotificacionesCorreo
2023-08-14 15:27:26.612444, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-08-14 15:27:28.896051, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-08-14 15:27:28.959177, TRACE, Inicio del submodulo InitApps ,InitApps
2023-08-14 15:27:29.021393, INFO, "Incio del modulo LoginCosmos" ,LoginTest
2023-08-14 15:28:03.180706, INFO, "Fin del modulo LoginCosmos" ,LoginTest
2023-08-14 15:28:03.221218, TRACE, Fin del submodulo InitApps ,InitApps
2023-08-14 15:28:03.268137, TRACE, Fin del modulo Init ,Init
2023-08-14 15:28:03.385946, TRACE, Inicio del modulo GetTransaction ,GetTransaction
2023-08-14 15:28:05.622244, TRACE, Fin del modulo GetTransaction ,GetTransaction
2023-08-14 15:28:06.250910, TRACE, Inicio del modulo Process ,Process
2023-08-14 15:28:06.318700, INFO, "Inicio del modulo Work Data" ,Work_Data
2023-08-14 15:28:07.581312, INFO, "Fin del modulo Work Data" ,Work_Data
2023-08-14 17:10:25.163788, TRACE, Incio del modulo Init ,Init

2023-08-14 17:10:25.280463, TRACE, Inicio Ejecucion, RB_ES_EDSA_013_CambioComercializadora
2023-08-14 17:10:25.339462, TRACE, Inicio del modulo Init ,InitConfig
2023-08-14 17:10:25.503339, TRACE, Fin del modulo Init ,InitConfig
2023-08-14 17:10:25.578273, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-14 17:10:32.412793, INFO, "Inicio del modulo GetAssets" ,GetAssets
