Hora, Tipo Registro, Mensaje,Robot

2023-09-08 00:05:27.458810, TRACE, Inicio Ejecucion, RB_ES_EDSA_017_CambioComercializadora
2023-09-08 00:05:27.517587, TRACE, Inicio del modulo Init ,InitConfig
2023-09-08 00:05:27.643937, TRACE, Fin del modulo Init ,InitConfig
2023-09-08 00:05:27.717821, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-09-08 00:05:27.848084, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-09-08 00:05:27.923088, TRACE, Inicio del submodulo InitApps ,InitApps
2023-09-08 00:05:27.993086, INFO, "Incio del modulo LoginCosmos" ,Login
2023-09-08 00:05:45.041374, INFO, "Inicio del modulo Obtener Token" ,ObtenerToken
2023-09-08 00:05:45.102266, INFO, "Fin del modulo Obtener Token" ,ObtenerToken
2023-09-08 00:05:59.171830, INFO, "Fin del modulo LoginCosmos" ,Login
2023-09-08 00:05:59.215976, TRACE, Fin del submodulo InitApps ,InitApps
2023-09-08 00:05:59.263222, TRACE, Fin del modulo Init ,Init
2023-09-08 00:05:59.555876, TRACE, Inicio del modulo GetTransaction ,GetTransaction
2023-09-08 00:06:01.366909, TRACE, Fin del modulo GetTransaction ,GetTransaction
2023-09-08 00:06:01.998695, TRACE, Inicio del modulo Process ,Process
2023-09-08 00:06:02.071166, INFO, "Inicio del modulo Work Data" ,Work_Data
2023-09-08 00:06:03.063165, INFO, "Fin del modulo Work Data" ,Work_Data
2023-09-08 00:06:03.185836, INFO, "Inicio del modulo Buscar_Cliente" ,Buscar_Cliente
2023-09-08 00:06:28.276508, INFO, "Intento de click en Buscar numero "1" de 10" ,Buscar_Cliente
2023-09-08 00:06:31.259632, INFO, "Intento de click en Buscar numero "2" de 10" ,Buscar_Cliente
2023-09-08 00:06:34.015740, INFO, "Fin del modulo Buscar_Cliente" ,Buscar_Cliente
2023-09-08 00:06:34.095045, INFO, "Inicio del modulo Iniciar Simulación" ,Iniciar_Simulacion
2023-09-08 00:06:55.459400, INFO, "Fin del modulo Iniciar Simulación" ,Iniciar_Simulacion
2023-09-08 00:06:55.543902, INFO, "Inicio modulo Validacion Cups" ,Validacion_Cups
2023-09-08 00:07:02.007360, INFO, "El cups existe y esta en vigor " ,Validacion_Cups
2023-09-08 00:07:02.089534, INFO, "Inicio del modulo" ,Cambio_Comercializadora
2023-09-08 00:07:02.158550, INFO, "Pantalla del boton Contratación" ,Cambio_Comercializadora
2023-09-08 00:07:02.608554, INFO, "Pantalla del boton Nueva Oferta" ,Cambio_Comercializadora
2023-09-08 00:07:14.079261, INFO, "Pantalla donde se busca por Cups" ,Cambio_Comercializadora
2023-09-08 00:07:18.447559, INFO, "Pantalla donde se da click en la dirección" ,Cambio_Comercializadora
2023-09-08 00:07:19.947934, INFO, "Pantalla de validación de suministro" ,Cambio_Comercializadora
2023-09-08 00:07:28.451399, INFO, "Fin del modulo" ,Cambio_Comercializadora
2023-09-08 00:07:28.553898, INFO, "Inicio del modulo" ,Actualizar_Potencia
2023-09-08 00:07:40.483846, INFO, "6" ,Actualizar_Potencia
2023-09-08 00:07:46.160212, INFO, "Fin del modulo Modificación de potencia" ,Actualizar_Potencia
2023-09-08 00:07:46.241061, INFO, "Inicio del modulo" ,Pasos_Configurador
2023-09-08 00:08:04.649043, INFO, "Inicio del modulo" ,Configuracion_Tarifa_Gas_TUR
2023-09-08 00:18:14.446180, TRACE, Incio del modulo Init ,Init
2023-09-08 00:18:14.510319, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-09-08 00:18:23.383061, INFO, "Inicio del modulo GetAssets" ,GetAssets

2023-09-08 00:18:23.521999, TRACE, Inicio Ejecucion, RB_ES_EDSA_017_CambioComercializadora
2023-09-08 00:18:23.579056, TRACE, Inicio del modulo Init ,InitConfig
