Hora, Tipo Registro, Mensaje,Robot

2023-08-15 10:28:36.604932, TRACE, Inicio Ejecucion, RB_ES_EDSA_013_CambioComercializadora
2023-08-15 10:28:36.709927, TRACE, Inicio del modulo Init ,InitConfig
2023-08-15 10:28:36.940866, TRACE, Fin del modulo Init ,InitConfig
2023-08-15 10:28:37.026026, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-15 10:28:44.092323, INFO, "Inicio del modulo GetAssets" ,GetAssets
2023-08-15 10:28:44.183028, INFO, Inicio del modulo envio de correo ,NotificacionesCorreo
2023-08-15 10:28:44.284112, INFO, "Conecta con el server de gmail" ,NotificacionesCorreo
2023-08-15 10:28:45.945498, INFO, "Valida si es un correo de inicio o de fin" ,NotificacionesCorreo
2023-08-15 10:28:46.879245, INFO, "Valido que es un correo de Inicio" ,NotificacionesCorreo
2023-08-15 10:28:46.935672, INFO, Se conecto y envio correo correctamente ,NotificacionesCorreo
2023-08-15 10:28:46.995486, INFO, Finaliza el modulo de envio de correo ,NotificacionesCorreo
2023-08-15 10:28:47.074019, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-08-15 10:28:50.350017, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-08-15 10:28:50.418087, TRACE, Inicio del submodulo InitApps ,InitApps
2023-08-15 10:28:50.488175, INFO, "Incio del modulo LoginCosmos" ,LoginTest
2023-08-15 10:29:33.524154, INFO, "Fin del modulo LoginCosmos" ,LoginTest
2023-08-15 10:29:33.568235, TRACE, Fin del submodulo InitApps ,InitApps
2023-08-15 10:29:33.609741, TRACE, Fin del modulo Init ,Init
2023-08-15 10:29:34.000980, TRACE, Inicio del modulo GetTransaction ,GetTransaction
2023-08-15 10:29:35.627883, TRACE, Fin del modulo GetTransaction ,GetTransaction
2023-08-15 10:29:36.253660, TRACE, Inicio del modulo Process ,Process
2023-08-15 10:29:36.316877, INFO, "Inicio del modulo Work Data" ,Work_Data
2023-08-15 10:29:37.335486, INFO, "Fin del modulo Work Data" ,Work_Data
2023-08-15 10:29:51.968015, INFO, "Inicio del modulo Buscar_Cliente" ,Buscar_Cliente
2023-08-15 10:30:04.651773, INFO, "Intento de click en Buscar numero "1" de 10" ,Buscar_Cliente
2023-08-15 10:30:07.588103, INFO, "Intento de click en Buscar numero "2" de 10" ,Buscar_Cliente
2023-08-15 10:30:10.324521, INFO, "Fin del modulo Buscar_Cliente" ,Buscar_Cliente
